date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2
2014-11-07,2015,0,,BRK,NYK,1522.2559,1497.7227,0.6719175574864076,0.3280824425135924,1528.8265,1491.152,,,,,,,,,,,110,99
2014-11-08,2015,0,,HOU,GSW,1652.2893,1625.957,0.6741965009462217,0.32580349905377826,1635.7723,1642.474,,,,,,,,,,,87,98
2014-11-08,2015,0,,SAS,NOP,1682.0265,1461.2051,0.8637505285673039,0.13624947143269606,1672.6333,1470.5984,,,,,,,,,,,99,100
2014-11-08,2015,0,,LAC,POR,1612.9148,1579.3641,0.6832568435412488,0.3167431564587512,1616.5344,1575.7445,,,,,,,,,,,106,102
2014-11-08,2015,0,,ATL,NYK,1489.2977,1491.152,0.6376021976904266,0.3623978023095734,1494.9514,1485.4983,,,,,,,,,,,103,96
2014-11-08,2015,0,,CHI,BOS,1572.7869,1391.9628,0.8343192620305593,0.16568073796944072,1557.6415,1407.1082,,,,,,,,,,,101,106
2014-11-08,2015,0,,MIA,MIN,1570.1465,1508.1108,0.7176333678528074,0.2823666321471926,1575.3345,1502.9229,,,,,,,,,,,102,92
2014-11-08,2015,0,,MIL,MEM,1330.1069,1620.6356,0.25034533276987153,0.7496546672301285,1337.2568,1613.4857,,,,,,,,,,,93,92
2014-11-08,2015,0,,IND,WAS,1490.8501,1553.229,0.5539305004861091,0.44606949951389085,1481.2407,1562.8384,,,,,,,,,,,90,97
2014-11-09,2015,0,,LAL,CHO,1389.7228,1506.8936,0.47530933137745274,0.5246906686225472,1404.0479,1492.5685,,,,,,,,,,,107,92
2014-11-09,2015,0,,PHO,GSW,1529.6503,1642.474,0.4815535880724472,0.5184464119275528,1541.8408,1630.2834,,,,,,,,,,,107,95
2014-11-09,2015,0,,DET,UTA,1380.3726,1383.0833,0.6364623113675134,0.3635376886324866,1374.7932,1388.6626,,,,,,,,,,,96,97
2014-11-09,2015,0,,DAL,MIA,1600.8418,1575.3345,0.6731524769123726,0.32684752308762743,1586.2744,1589.9019,,,,,,,,,,,96,105
2014-11-09,2015,0,,OKC,SAC,1571.4899,1479.1001,0.7516598870194882,0.24834011298051184,1575.3979,1475.192,,,,,,,,,,,101,93
